0,1,2,3,4,5,6,7,8,9
-0.111642964,0.6360798,0.36022246,-0.9728488,1.0401341,-1.4336863,0.8362271,-0.0051542222,0.4223284,0.11850843
0.84029734,-0.77952397,-0.8568304,-0.2572904,1.0061167,-0.19538356,1.3869079,0.49380648,-0.17168382,-0.9320072
-0.94457954,0.16031061,-0.5140331,-1.5157598,0.6574872,-1.4278417,1.1911011,0.69534504,-1.0002925,-0.05180019
1.1874099,0.75062585,0.36604124,-0.6731056,0.8459006,-0.9548173,0.94116014,0.3288303,-1.0395925,-0.3174839
-0.07490342,-0.06613231,0.4453408,-0.70737666,0.8606222,-1.8895447,0.83466727,-0.50627416,0.9410178,0.86558735
0.22245184,0.37901586,-0.79896873,-0.51137275,0.051981665,-0.4490399,1.1497979,0.32393134,-0.28641027,-0.24993306
0.8126662,0.13010721,0.23780954,-1.4121507,0.55528027,-0.7793071,1.3461512,0.31605583,-0.21596345,0.20341232
0.38487786,0.9505868,-0.6994312,-1.0098839,1.5473864,-0.26512012,1.1052015,0.4015407,-0.04750669,0.005852081
0.53427,0.76026297,-0.16296893,-1.2731808,1.7115872,-0.4646268,0.99220794,-0.13219202,-0.5752752,0.76190984
0.02756413,0.7789104,-0.21554327,-1.5372263,0.8497024,-0.3705307,1.0810714,-0.50499976,-0.981261,0.50631046
-0.38540876,-0.30672845,-0.067071855,-1.2034476,1.0695021,-0.8166067,0.89640886,-0.18746682,-0.6410686,-0.23981921
1.0772982,-0.68895245,-1.5987914,-0.8550879,0.5348507,1.6231862,-1.9148608,1.4039524,-0.5255302,-1.4485904
-0.7183315,0.6214045,-0.3203726,-1.1315305,0.4719582,-1.2929441,1.0655354,-0.10696697,0.14393461,0.41280898
1.1264724,-0.53570455,-0.89004993,-2.2666368,-0.8595796,0.53118104,0.38776547,-0.40175775,-0.21688437,-1.7525543
1.0179627,-0.64823717,-1.0551205,-1.956921,-0.2185393,-0.24650346,1.5779738,0.86556673,-0.053584397,-0.17672232
1.4333293,-0.24734038,-0.34634686,-0.010347701,1.3445096,-0.014048411,0.7282712,0.55328774,-0.50236076,-0.7176558
0.9619934,-0.17760669,0.14504895,-1.2459483,0.5570219,-0.3299885,1.7502569,-0.295148,-0.7284527,0.035167813
-1.5892227,-1.4191794,-0.7132862,0.16206555,1.521606,-1.3070073,1.2875913,0.12236361,-1.1517997,0.7407559
-0.28463396,1.2648661,0.67781126,-1.3948548,0.90052885,0.38479245,1.1354787,0.12226407,0.5136911,-0.051156655
0.06753277,0.3529846,-0.20593849,-1.5668069,0.43079817,-0.94227004,1.3186306,-0.15039437,-0.70435625,0.61005616
-0.50223964,0.096791044,-0.12611867,-1.515821,0.46989718,-1.5021173,1.381668,-0.23670098,1.1435647,1.2096393
0.13221654,-0.22918469,-1.7645745,-0.63866717,0.1941871,-1.2133946,-1.4593583,1.760631,0.24509674,-1.3016263
0.3938388,-0.20286083,-0.6509961,-1.6228362,0.55751103,-0.12456922,1.458349,0.36925125,-0.80430424,-0.12145534
0.7385369,1.5726014,0.38500613,-1.1835223,-0.64499176,-0.22617063,0.8503451,0.398058,0.22500819,-1.1048114
-0.43914267,-0.056859955,-1.11959,-0.5311482,-0.6595253,-0.78314185,-1.6955607,1.3861047,1.3327808,-1.0657383
0.6227554,-1.2122165,-1.5812347,-0.9790211,1.8250723,1.2294673,-1.5745229,1.4238207,-0.7210277,-1.5488459
-0.01131735,0.88794136,-0.66883874,-2.3339071,0.6988515,-0.43898323,1.0872797,0.026919886,-0.8196318,0.018469393
1.6173751,-0.25864828,-1.2748346,-0.024023948,-2.2080898,0.7111652,1.3571283,0.36394304,0.44541734,-0.62159956
-0.23025808,-0.028735042,-0.8781297,-1.5076357,0.3221873,-0.73904216,0.9717912,0.3826027,-1.0074441,-0.03828492
-0.3874981,0.1744638,0.10406533,-0.7533774,0.72520626,-1.8741953,1.0666698,0.9013014,-0.101706505,-0.25917727
0.55502796,0.66673243,0.22145674,-0.41999868,0.30451396,-0.9760317,1.4143327,0.23150058,-0.40325713,-0.2176832
-0.02113869,-0.67614454,-0.3496234,-2.3179128,0.28258696,0.023068385,0.7211756,0.055030465,-0.8970866,0.49614808
0.74863404,-0.24428098,-0.7999518,-0.20465648,1.4368083,-0.6884489,0.7682186,0.34631503,-0.57423955,-0.31158715
-0.4676197,0.3323359,-0.28904217,-1.0081534,1.2512438,-0.7029025,1.0633833,-0.060991123,-1.2398751,0.15078492
-0.2983934,0.83787835,-0.018558443,-1.9512494,-0.22554305,-0.6412947,1.4052047,-0.036993444,-0.20117152,-0.616487
0.022415675,0.6726538,-0.39507645,-1.541083,1.1990697,-0.84317154,0.5146186,-0.3327924,-0.6342729,-0.09128156
0.8349135,-0.8164487,-1.0878195,-1.5372978,-1.5124685,0.6755731,0.64027023,0.25347608,-0.4361843,-1.5343196
0.62158984,-1.1513157,-1.2659712,-3.3335097,-1.5148721,0.4247103,0.64976794,0.28668392,-0.3723361,-2.0559564
-0.41768607,0.57490164,-0.4263053,-0.9761046,0.9561148,-0.30634734,1.352372,0.5437637,-0.14848512,0.15426964
-0.31416583,0.40991604,0.1902371,-1.4924846,-0.19783798,-0.6266092,1.0998051,1.3162283,0.6520681,0.009869143
0.25221303,0.22469924,-0.4177272,-1.6740404,0.85218954,0.13568303,1.059295,-0.24277435,-0.82523173,0.7266129
0.26406804,0.09487365,-0.7910424,-1.2926844,0.6546441,0.77069044,1.1977242,0.7045226,-0.53636897,-0.026786268
1.2271793,0.40657938,0.5716275,-0.55970794,0.4468945,-0.64580226,1.1844974,-0.3798434,-0.1748589,-0.74194336
-0.43379375,0.89279675,0.29790908,-1.9275643,0.057295047,-0.40836838,1.221012,0.32702142,0.7508394,-0.71268964
-3.184426,-0.55658674,0.17876482,-1.6884848,0.18571317,0.5744889,-0.43270576,-0.12787321,-1.594923,-1.0429343
1.2950978,0.09517895,-0.16320647,-1.1720768,0.3123921,-0.32835284,1.1734391,0.6220964,-0.8423604,0.18330064
0.8106876,0.056394592,0.031557098,-0.29816797,0.9671176,-1.0351717,1.2122921,0.35279816,0.7868528,0.030349314
0.9162517,0.4600892,-0.1418817,-0.59950995,0.9540059,-0.89889365,1.8498682,0.62825364,-0.28128874,-0.5694368
-0.14073224,-0.30012274,-0.8777384,-1.0496458,1.8029801,-0.12614258,1.0722426,0.30765247,-0.24219087,-0.22511874
1.2899636,0.90311146,-1.3751118,0.08243483,-0.594769,-0.8207482,-1.598554,2.2371392,1.2471306,-0.40951043
0.20253038,0.22395642,-0.0094129145,-1.4959353,0.51303655,-1.1572471,1.2694601,0.65052474,-0.06923059,0.5077102
-0.5497151,1.0851092,-0.076331824,-1.6058246,0.0061790124,-0.6413408,1.3725454,0.039917454,0.2610141,0.4530432
-0.5588161,-0.6309502,-0.47370782,-1.6614083,0.37521437,-0.20133351,1.3202826,0.2936818,-0.9892326,0.62253463
0.6001667,0.67006767,-0.09201106,-0.8145885,-0.72243714,-1.0270004,2.0134885,0.41611254,-0.030709922,0.6863419
0.3987614,0.43385106,-0.43151608,-0.27129745,0.7765946,0.4301875,1.3629551,0.2850927,-1.0018263,0.07990366
0.44579712,0.7113495,0.18446216,0.30766314,0.02050639,-0.7481235,1.6085703,0.42227685,-0.051635385,-0.4480242
0.5132367,-0.40975362,-0.5808905,0.11359591,0.38510248,-0.016852347,1.2855393,1.0782646,-0.32700095,0.019156665
0.1482153,1.41025,0.15849426,0.603811,1.6973288,-0.65395033,1.2655717,-0.15059371,0.74339586,-0.4499696
1.0706363,-1.3608711,-2.0588188,-0.56421643,0.11044092,-0.10577254,-1.7350414,1.7234299,0.24601215,-0.7181165
0.08405226,-0.16099566,-0.47095022,-1.4609324,0.404765,-0.6110387,1.3858203,0.2314546,-0.28776193,0.22550961
0.6000474,0.40883613,-0.23170073,-0.81896013,0.7564738,-0.5773922,1.029468,-0.65268445,-1.2552805,0.43692985
1.4715549,0.70532006,-1.6117067,1.0223043,-0.5666674,-0.6079326,-1.6302723,2.0791628,0.63123506,-0.10480565
0.14716902,0.8913431,-1.1475403,-1.0072821,0.9222848,-0.61261153,-0.21013428,0.7622719,-0.672616,-0.047888175
1.3553514,0.5516173,-0.29214442,0.120344065,0.51456296,0.47945812,0.8695032,0.81844187,0.67575747,-2.0675132
-0.103739865,-0.08163527,0.3050303,-1.0643985,0.8838671,-1.0581259,1.3822964,-0.18348554,0.20892149,0.46444568
0.84006315,0.3233425,0.039464876,-1.045173,-0.30125865,-1.385324,1.0415056,0.6361227,0.70970243,0.040541098
-0.06268678,1.0107869,0.3536777,-1.3038589,0.162992,-0.5703741,1.1480228,0.99938965,-0.9485704,0.42745236
-0.57804537,0.8666358,-1.471075,0.25587142,-0.69921976,-0.9017826,-1.3794582,1.4808413,0.8510682,-0.4591361
0.9326889,0.77403665,-0.34838164,-1.2633401,0.29140976,-0.6745818,1.1296548,0.4226631,-0.9824923,-0.4919206
0.08971044,0.16520779,-0.7238341,-0.87054545,0.6235892,-0.6646913,0.41260827,0.00013044477,-0.49685335,0.75030696
0.65607935,0.15775846,-0.1142802,-0.68783945,1.1768913,-0.84491134,1.2314069,-0.10183964,-0.56681514,0.5845809
1.3547199,0.18813168,-1.2031364,0.9530214,-0.092559524,1.4760929,1.735856,0.4030475,0.8526413,-0.63987887
0.79092515,0.97904634,-0.1754421,-1.9761746,0.7569482,-0.74681515,0.5558495,-0.7099443,0.19401902,0.5326245
0.9957481,-1.2893434,-1.1050892,-1.6426562,-0.6110887,0.13035385,1.5063668,0.09138994,0.1793263,-0.519197
1.0673256,-0.0814562,-0.26044917,-0.4206585,0.9282671,-0.8459618,1.1001109,0.26479548,0.14546323,0.048781246
0.5200741,0.93806136,0.9032399,0.36120594,0.6483039,-0.44678465,1.2623386,0.6649343,0.01728332,-0.14961162
0.30917025,1.0231643,0.038703203,-1.3190558,-0.23829138,-0.35746267,1.3010476,-0.043646447,0.06307131,-0.10505983
-0.20787261,0.31164283,-0.34592396,-1.6888448,0.9584134,-0.82850736,0.27227688,-0.7171766,-0.30395156,0.30075067
0.008614674,0.20654114,-0.51584035,-1.910113,-0.10752038,-0.5047591,1.2788008,0.42975235,-0.17713732,-0.29490182
0.91012245,0.46996534,-0.71977955,-0.9220157,0.24127892,-0.32603487,1.2438148,0.93078125,-1.1501156,-0.42277867
0.2872704,1.018721,-0.37972316,-0.011666111,0.38819495,-0.9591683,1.2693487,0.8521359,0.6238273,-0.5610424
-0.4221298,0.5582189,0.80166334,-0.22536443,1.7778176,-1.0301641,0.973661,-0.15759152,0.32358843,0.38056746
0.44397327,0.54039156,-1.4880912,-0.14856292,-0.26766443,-0.6932827,-1.3094649,2.0443351,0.58853716,0.10599011
0.67542326,1.0552772,0.18105733,-1.0088427,0.9594012,-0.75311756,1.198377,0.27214855,-0.9495113,0.1778219
0.53421,0.69935817,0.116933316,-0.8305646,1.2732981,-0.6326477,0.7686728,0.7498294,0.31041825,0.6809697
0.75240636,0.71950334,-0.124505,-0.18492793,1.2320094,-0.6010499,1.4276857,-0.4447716,-0.2965683,-0.24662071
0.83303213,-1.018681,-0.033568546,-1.117566,-0.548281,-1.1076304,1.2748705,1.0521178,-0.13169241,0.016084254
0.5490715,0.23592828,0.7732756,-1.7430396,-0.1535103,-0.9354971,1.1529269,0.775259,0.9643157,-0.11459306
-0.16487467,-0.34487143,0.3341145,-1.6003698,1.6745294,-0.7500295,1.5825602,0.62678754,-0.8343861,0.1023947
1.0336041,-0.6073665,-0.38704452,-0.24160044,-0.05209846,-0.5921027,2.0334609,0.95345426,0.6468081,-0.85127616
0.1314834,0.2575149,-1.1267476,-0.46476892,0.98328394,-0.72079396,1.2947334,0.8011006,0.6675133,-0.06918065
-0.52638,1.0000627,-0.7028516,-1.4520594,0.9284637,-0.9341465,0.948168,0.38428944,-0.30388772,0.20426878
-0.17296341,-1.2982419,-0.7813503,-2.0081773,-1.5857913,0.8303001,0.25494087,1.1031399,-0.31698567,-2.4255936
0.47068676,-0.13957326,-2.0226254,-0.40170613,-0.077574916,-0.39371464,-0.46959937,1.2309864,0.07446796,-0.64624345
0.3000356,-0.3236394,-0.5243647,-1.0454837,0.8501258,-0.8545144,1.4471251,-0.28805143,0.29105026,-0.4206776
-0.3430209,-0.63693756,0.29313058,-2.2113266,0.19896063,-1.3528455,0.8051375,0.21123804,0.31759697,1.2144957
0.8562891,-0.4019357,-1.5352073,-0.7318189,-0.8006888,0.0025686864,1.8819565,0.46623033,0.19821554,-0.03077045
0.00040594488,0.053826436,-1.058886,-0.0966694,0.9170775,-0.24403398,1.2481327,0.20005567,-0.03330922,0.441389
-0.33517003,0.36125672,-1.6751578,-1.2916509,1.8105881,-1.4357047,-0.3585875,0.82715666,-0.54176545,0.35278863
1.1393458,-0.2301374,-1.409347,-0.5965632,-0.2853872,-0.12671521,-0.39753526,0.62704766,0.43182617,-0.1397694
-3.9264565,0.34401,0.351218,-1.5995635,0.31838727,0.9644369,-0.26827565,-0.2407851,-1.8288367,-1.2940292
0.3147492,-0.46857917,-0.51541036,-1.0088811,1.5433595,-0.90268064,0.6651582,0.13661577,-0.5494623,-0.41256544
0.77122563,-0.19374202,-0.8251677,-1.5364535,0.014931947,0.18115288,1.3841704,0.35982525,-0.6651404,0.5240791
1.7230504,-0.14798564,-0.8319089,-0.87301064,0.10865914,0.2750712,1.5703095,0.75068706,-0.47289735,-0.3068775
0.65107423,1.3112537,-0.4261837,-0.47038615,0.10540449,-0.97332346,0.71188396,-0.2642954,-0.46858945,0.15411648
0.14837578,0.28793287,-1.0991077,-0.7076715,0.83617467,-0.52979994,1.3431424,0.28263748,-0.5690629,0.37040284
-0.67694503,0.5829669,0.006949842,-1.9653817,0.55285954,-0.7393944,0.736481,-0.9605169,0.49655563,0.5681447
1.159183,0.69441295,0.13931721,-0.6113394,0.4829137,-0.357098,1.0028967,0.66839814,-0.32743382,0.75211906
-0.9162174,-0.16804245,-0.2881508,-0.9006928,1.2655413,-1.5592909,1.0105404,0.34715658,-0.3840651,-0.213802
1.1553361,0.4138043,-0.3178504,-0.18374841,0.944198,0.08802594,1.4193782,-0.19107884,-0.7177314,-0.07967675
-0.095669724,-0.4301267,0.49664694,-1.3563764,1.2404256,-1.8209918,1.4338888,0.5161042,-0.425912,0.32477817
-0.37455237,0.39561868,-0.40993166,-0.34328106,0.6772165,-0.9074001,1.1616954,0.48763382,0.39241183,-0.58853376
0.30822784,0.031616405,-0.5981495,-0.48595574,0.7840583,-0.95614934,0.768516,0.47574145,-0.6515994,0.42192206
-1.9360839,-1.175776,-1.5221515,-0.10316891,1.9975939,-0.8774012,1.3753983,0.10351808,-0.43902615,0.35925248
0.1428838,0.35982418,0.4217407,-0.9089129,1.7193465,-1.4003665,1.2405938,0.2258804,1.232043,0.117802724
-1.0305727,0.9730866,-0.40018362,0.43310896,1.3082194,-0.5100397,1.435228,0.69144034,-0.10457489,-0.4950162
0.4198815,1.3346866,0.09867865,-0.9337669,1.1373224,-0.4828947,1.2959013,-0.1927067,0.26150447,0.35766026
-0.71616274,-0.34083575,-0.26452506,-1.4801818,-0.54695255,-1.3624989,1.716044,0.56956005,-0.016113877,0.46898553
1.3603959,0.74572176,-0.25975657,-0.87120855,0.2885277,-0.20861629,1.2231635,0.81961215,-0.6736772,-0.29991826
1.1393092,0.2808138,0.305394,-0.45821497,1.1134572,-0.9502008,1.359511,0.72010386,-0.77013814,0.5198716
-0.02358964,0.070758745,-0.019450381,-0.6697259,1.580963,-1.1232456,1.0733097,0.48453176,-0.48395526,0.41184098
1.4757237,1.1377858,0.78730386,-1.012116,0.32752827,-1.310425,0.73448366,0.9052267,-0.2809712,-1.2159874
-0.4077111,0.40826583,-0.6875012,-1.2284913,0.497907,-1.1557946,0.93164605,0.22103195,-0.7680088,0.015993193
1.5032022,0.7546555,-0.47215286,0.4553451,0.6546578,-0.13905409,1.5812716,0.755187,-0.24643141,0.1309135
0.48333833,0.7735268,-0.7417863,-0.99958026,-0.028417133,-0.8021177,0.6604001,0.05468048,-0.1460818,-0.25190064
1.5112966,-0.19444105,-0.03992918,-0.5761704,1.5408812,-0.8614673,0.84390515,0.39804643,0.38449675,0.18419522
0.55686635,0.39514983,-1.2333817,-1.4827559,-0.51765275,0.62125564,1.3728558,0.5572741,0.27620834,-1.1446247
-0.25742167,0.30565363,0.45635194,-0.525824,-0.06241066,-1.1636724,1.3681177,-0.27516782,0.0267964,0.03646785
0.11314937,0.015078977,-1.2959974,0.0025096321,1.3100204,-1.5196068,-1.7954746,2.0001216,-0.06954509,0.09746663
0.60158294,-0.7615067,-0.15053317,-1.8797833,1.1787107,-0.5328257,1.1783984,-0.15832917,-0.53719354,0.41794178
0.85677665,1.222053,0.027414098,-0.37988326,0.29895568,-0.7750354,0.9057848,-0.39531738,0.15011835,1.0405797
0.4705105,-0.1496782,0.6572173,-0.5529283,1.1947237,-0.6643315,1.1013474,0.18586136,-1.2037828,0.11393492
-0.15486312,0.015607849,0.028939664,0.29509374,1.3437586,-0.9096484,1.2063873,0.5291639,-0.47517174,0.22162762
